"ID";"Statut";"Categorie";"Fonctionnalite";"Description courte";"Priorite";"Responsable";"Date cible";"Dependances";"Notes";"Publier_sur_site";"Filtre_Statut";"Filtre_Priorite";"Filtre_Categorie"
"16";"Developpe";"Planning";"Feuille de route";"Vue execution mission par mission avec details parcours";"Haute";"";"";"planning transports";"Route feuille-route";"TRUE";"1";"1";"Planning"
"17";"Developpe";"Planning";"Planning transport";"Affectation missions et gestion charge operationnelle";"Haute";"";"";"transports ressources";"Route planning";"TRUE";"1";"1";"Planning"
"18";"Developpe";"Portail";"client-portal";"Acces tracking client tokenise grant/revoke";"Haute";"";"";"auth tenant";"Endpoint netlify";"TRUE";"1";"1";"Portail"
"19";"Developpe";"Portail";"Espace affreteur";"Portail affreteur dedie aux interactions missions";"Haute";"";"";"transports";"Route espace-affreteur";"TRUE";"1";"1";"Portail"
"20";"Developpe";"Portail";"Espace client";"Portail client pour consultation et suivi";"Haute";"";"";"client-portal";"Route espace-client";"TRUE";"1";"1";"Portail"
"21";"Developpe";"Ressources humaines";"Chauffeurs";"Gestion fiches chauffeurs, statut et informations metier";"Haute";"";"";"rh conformite";"Route chauffeurs";"TRUE";"1";"1";"Ressources humaines"
"22";"Developpe";"Routing";"routing";"Calcul route et trafic interne enrichi provider";"Haute";"";"";"netlify core";"Endpoint netlify";"TRUE";"1";"1";"Routing"
"23";"Developpe";"Session";"driver-session";"Session web chauffeur avec heartbeat et missions";"Haute";"";"";"auth tenant";"Endpoint netlify";"TRUE";"1";"1";"Session"
"24";"Developpe";"Socle";"Authentification et roles";"Controle acces par role et redirection pages autorisees";"Haute";"";"";"auth provider";"Base securite ERP";"TRUE";"1";"1";"Socle"
"25";"Developpe";"Suivi terrain";"Map live";"Visualisation geographique de l activite terrain";"Haute";"";"";"tracking";"Route map-live";"TRUE";"1";"1";"Suivi terrain"
"26";"Developpe";"Tachy";"tachy";"Statut conducteur et temps de conduite via extension";"Haute";"";"";"netlify core";"Endpoint netlify";"TRUE";"1";"1";"Tachy"
"27";"Developpe";"Tracking";"tracking";"Historique et positions vehicules via couche";"Haute";"";"";"netlify core";"Endpoint netlify";"TRUE";"1";"1";"Tracking"
"28";"Developpe";"Acces";"Demo access";"Parcours demonstration avec droits controles";"Moyenne";"";"";"auth";"Route demo-access";"TRUE";"1";"2";"Acces"
"29";"Developpe";"Commercial";"Prospection CRM";"Suivi pipeline commercial et opportunites";"Moyenne";"";"";"clients";"Route prospection";"TRUE";"1";"2";"Commercial"
"30";"Developpe";"Communication";"Communication interne";"Canal communication equipe exploitation";"Moyenne";"";"";"utilisateurs";"Route communication";"TRUE";"1";"2";"Communication"
"31";"Developpe";"Communication";"Mail";"Espace mail operationnel integre";"Moyenne";"";"";"utilisateurs";"Route mail";"TRUE";"1";"2";"Communication"
"32";"Developpe";"Conformite";"Amendes et PV";"Suivi PV amendes et traitement interne";"Moyenne";"";"";"chauffeurs vehicules";"Route amendes";"TRUE";"1";"2";"Conformite"
"33";"Developpe";"Finance";"Comptabilite ecran v0";"Ecran comptabilite present avec fonctions partielles";"Moyenne";"";"";"facturation";"Etat actuel avant lot compta v1";"TRUE";"1";"2";"Finance"
"34";"Developpe";"Finance";"Frais";"Gestion notes de frais et imputations";"Moyenne";"";"";"paie comptabilite";"Route frais";"TRUE";"1";"2";"Finance"
"35";"Developpe";"Finance";"Paie";"Gestion paie et elements associes";"Moyenne";"";"";"rh";"Route paie";"TRUE";"1";"2";"Finance"
"36";"Developpe";"Flotte";"Equipements";"Inventaire equipements operationnels";"Moyenne";"";"";"maintenance";"Route equipements";"TRUE";"1";"2";"Flotte"
"37";"Developpe";"Flotte";"Remorques";"Gestion remorques et affectations";"Moyenne";"";"";"vehicules";"Route remorques";"TRUE";"1";"2";"Flotte"
"38";"Developpe";"IA";"ai";"Assistant ops ETA et explication retards (fallback interne)";"Moyenne";"";"";"ai logs cache";"Endpoint netlify";"TRUE";"1";"2";"IA"
"39";"Developpe";"Legal";"Mentions legales";"Gestion contenu legal interne/public";"Moyenne";"";"";"site public";"Route mentions-legales";"TRUE";"1";"2";"Legal"
"40";"Developpe";"Organisation";"Tasks operationnelles";"Gestion des taches internes et suivi execution";"Moyenne";"";"";"auth role";"Route tasks";"TRUE";"1";"2";"Organisation"
"41";"Developpe";"Analytique";"Axes analytiques transport";"Axes camion chauffeur tournee client mission sur ecritures";"Haute";"";"";"compta lignes";"Epic C1";"TRUE";"1";"1";"Analytique"
"42";"Developpe";"Analytique";"Marge et couts transport";"Marge mission/tournee/client et couts consolides";"Haute";"";"";"axes analytiques";"Epic C2";"TRUE";"1";"1";"Analytique"
"43";"Developpe";"Comptabilite v1";"Balance et grand livre";"Etats comptables periodiques exportables";"Haute";"";"";"ecritures validees";"Epic A5";"TRUE";"1";"1";"Comptabilite v1"
"44";"Developpe";"Comptabilite v1";"Ecritures auto depuis factures";"Generation automatique ecriture vente/achat depuis facture";"Haute";"";"";"facturation compta";"Epic A3";"TRUE";"1";"1";"Comptabilite v1"
"45";"Developpe";"Comptabilite v1";"Export FEC et inalterabilite";"Export FEC checksum SHA256 et append-only ecritures validees";"Haute";"";"";"audit evenements";"Epic A6";"TRUE";"1";"1";"Comptabilite v1"
"46";"Developpe";"Comptabilite v1";"Lot A schema comptable coeur";"Tables journaux plan comptable ecritures lignes";"Haute";"";"";"supabase migration";"Epic A1 A2";"TRUE";"1";"1";"Comptabilite v1"
"47";"Developpe";"Comptabilite v1";"TVA declarative multi-taux";"Calcul TVA collectee/deductible et preparation CA3 CA12";"Haute";"";"";"compta regles TVA";"Epic A4";"TRUE";"1";"1";"Comptabilite v1"
"48";"En cours de developpement";"Compte client db";"Foundation compte_client_db_v1";"Mise en place schemas core/docs/rt/audit/backup multi-compte";"Haute";"";"";"migration supabase";"Doc execution serv dev";"TRUE";"2";"1";"Compte client db"
"49";"En cours de developpement";"Securite donnees";"RLS strict compte client";"Isolation stricte par compte ERP sur perimetre V1";"Haute";"";"";"foundation";"Policies same_compte";"TRUE";"2";"1";"Securite donnees"
"50";"Developpe";"Tresorerie";"Import releves bancaires CSV";"Ingestion releves et dedoublonnage par hash";"Moyenne";"";"";"compta banque";"Epic B1";"TRUE";"1";"2";"Tresorerie"
"51";"Developpe";"Tresorerie";"Lettrage auto + manuel";"Propositions rapprochement et validation manuelle ecarts";"Moyenne";"";"";"releves ecritures";"Epic B2";"TRUE";"1";"2";"Tresorerie"
"52";"En cours de developpement";"Affretement";"Planning affreteur dedie";"Vue et workflow dedies aux affreteurs";"Haute";"";"";"espace affreteur planning";"Priorite utilisateur";"TRUE";"2";"1";"Affretement"
"53";"Features";"Application mobile";"Application conducteurs complete";"Application mobile conducteurs avec messagerie, consultation OT, suivi transport, transmission des statuts et incidents terrain, bon de livraison, frais/remboursement, coffre-fort numerique et fiche client complete (numero, adresse, horaires, consignes).";"Haute";"";"";"driver-session tchat coffre frais";"Future developpement detaille";"TRUE";"3";"1";"Application mobile"
"54";"Features";"Bourse de fret";"Bourse de fret interne connectee";"Creation d une bourse de fret interne pour connecter les clients, les affreteurs et des bourses de fret independantes, avec matching OT/capacite, suivi des propositions et historisation des attributions.";"Haute";"";"";"portails API integrations";"Future developpement detaille";"TRUE";"3";"1";"Bourse de fret"
"55";"Features";"Cartographie";"Cartographie poids lourds";"Cartographie specialisee poids lourds avec restrictions gabarit, tonnage, hauteur et matieres reglementees.";"Haute";"";"";"fournisseur cartographie PL";"Future developpement detaille";"TRUE";"3";"1";"Cartographie"
"56";"Features";"Conformite";"API chronotachygraphe";"Integration API chronotachygraphe pour exploiter temps de conduite, temps de repos, disponibilites legales, alertes de depassement et contraintes reglementaires par conducteur.";"Haute";"";"";"api tachy";"Future developpement detaille";"TRUE";"3";"1";"Conformite"
"57";"En cours de developpement";"Ecosysteme";"Connectivite et discussion inter-ERP";"Messagerie et coordination entre ERP partenaires";"Haute";"";"";"auth federation API";"Priorite utilisateur";"TRUE";"2";"1";"Ecosysteme"
"58";"En cours de developpement";"Exploitation";"Groupage multi-courses figeable/deliable";"Assembler/dissocier des courses independantes avec verrouillage";"Haute";"";"";"planning transports";"Priorite utilisateur";"TRUE";"2";"1";"Exploitation"
"59";"Features";"IA";"IA de calcul de temps de trajet";"Moteur IA de calcul de temps de trajet tenant compte du trafic, du type de mission, des habitudes d itineraire, des fenetres de livraison et des contraintes operationnelles.";"Haute";"";"";"routing trafic";"Future developpement detaille";"TRUE";"3";"1";"IA"
"60";"Features";"IA";"IA de prediction ETA multi-contraintes";"Prediction ETA detaillee avec prise en compte distance, trafic, tachygraphe, temps de conduite restant, pauses obligatoires et periodes de repos pour une estimation terrain fiable.";"Haute";"";"";"tachy routing historique";"Future developpement detaille";"TRUE";"3";"1";"IA"
"61";"Features";"IA";"IA de recommendation et optimisation";"IA de recommendation et d optimisation pour proposer les meilleures affectations (conducteur, vehicule, sequence missions), limiter les kilometres a vide et ameliorer la marge operationnelle.";"Haute";"";"";"moteur IA donnees historiques";"Future developpement detaille";"TRUE";"3";"1";"IA"
"62";"Features";"Integrations";"Communication inter-ERP par reference transport";"Echange reference transport inter-systemes avec webhook signe";"Haute";"";"";"contrat echange HMAC";"Roadmap courses";"TRUE";"3";"1";"Integrations"
"63";"Features";"Integrations";"Integration API bourse de fret";"Synchronisation opportunites externes vers ordres transport";"Haute";"";"";"providers mapping";"Roadmap courses";"TRUE";"3";"1";"Integrations"
"64";"Features";"Integrations";"Tracking temps reel API externes";"Enrichissement positions et ETA par APIs externes";"Haute";"";"";"vehicle positions eta predictions";"Roadmap courses";"TRUE";"3";"1";"Integrations"
"65";"Features";"Navigation conducteur";"GPS poids lourds pour les conducteurs";"Navigation GPS dediee conducteurs PL avec itineraire conforme, alertes contraintes et guidage mission par mission.";"Haute";"";"";"application mobile conducteurs cartographie PL";"Future developpement detaille";"TRUE";"3";"1";"Navigation conducteur"
"66";"Features";"Portail affreteur";"Portail affreteur et espace exploitant";"Portail affreteur pour recuperer les OT, collaborer avec l exploitation, suivre les transports effectues pour l entreprise, acceder aux adresses clients sans contact, gerer la facturation et dialoguer avec l affretement.";"Haute";"";"";"affretement portal communication";"Future developpement detaille";"TRUE";"3";"1";"Portail affreteur"
"67";"Features";"Portail client";"Portail client avance";"Espace client pour deposer des demandes de transport, suivre en direct les missions avec ETA predictif, contacter conducteur et affretement, et consulter les elements de facturation.";"Haute";"";"";"client portal eta facturation";"Future developpement detaille";"TRUE";"3";"1";"Portail client"
"68";"Features";"Tracking";"Connexion map live a la cartographie poids lourds";"Connexion de la map live a la cartographie poids lourds pour afficher positions, trajets et ETA sur fond routier PL.";"Haute";"";"";"map live cartographie PL tracking";"Future developpement detaille";"TRUE";"3";"1";"Tracking"
"69";"Features";"Tracking API";"API tracking flotte GPS";"API de tracking flotte GPS avec position en temps reel, historique des trajets, georeperage, alertes entree/sortie de zone et base de preuves de parcours.";"Haute";"";"";"api gps providers";"Future developpement detaille";"TRUE";"3";"1";"Tracking API"
"70";"Features";"Tracking API";"API tracking niveau carburant";"API de tracking niveau carburant pour suivre niveaux en continu, consommation par trajet, anomalies de variation et alertes optimisation carburant.";"Haute";"";"";"api telematique capteurs";"Future developpement detaille";"TRUE";"3";"1";"Tracking API"
"71";"Features";"Tracking API";"API tracking vitesse";"API de tracking vitesse avec remontee vitesse instantanee, courbe de conduite, alertes depassement et analyse comportementale par mission.";"Haute";"";"";"api telematique";"Future developpement detaille";"TRUE";"3";"1";"Tracking API"
"72";"Features";"Automation";"Creation course depuis email";"Pre-creation en brouillon avec validation humaine obligatoire";"Moyenne";"";"";"module transports";"Roadmap courses";"TRUE";"3";"2";"Automation"
"73";"Features";"Automation";"Detection demandes transport email";"Detection auto d intentions transport dans emails entrants";"Moyenne";"";"";"inbox transport candidates";"Roadmap courses";"TRUE";"3";"2";"Automation"
"74";"Features";"Automation";"Parsing intelligent emails";"Extraction donnees metier depuis email avec score confiance";"Moyenne";"";"";"schema JSON strict";"Roadmap courses";"TRUE";"3";"2";"Automation"
"75";"Features";"Automatisation";"OCR fournisseurs v1";"Lecture auto factures fournisseurs et proposition ecriture achat";"Moyenne";"";"";"compta achats";"Epic E1";"TRUE";"3";"2";"Automatisation"
"76";"Features";"Automatisation";"Rapprochement intelligent scoring";"Scoring de match et seuil auto-validation configurable";"Moyenne";"";"";"lettrage auto";"Epic E2";"TRUE";"3";"2";"Automatisation"
"77";"Features";"Pilotage";"Rentabilite avancee";"Marge par client, rentabilite camion, cout au km";"Moyenne";"";"";"axes analytiques couts";"Cadrage niveau 2/3";"TRUE";"3";"2";"Pilotage"
"78";"Features";"Recouvrement";"Relances impayes avancees";"Scenarios relance parametrables et risque client calcule";"Moyenne";"";"";"facturation clients";"Epic D2";"TRUE";"3";"2";"Recouvrement"
"79";"Features";"Flotte finance";"Amortissements flotte";"Gestion amortissements et impact rentabilite flotte";"Basse";"";"";"comptabilite analytique";"Cadrage niveau 2";"TRUE";"3";"3";"Flotte finance"
"80";"Developpe";"IA";"Placement automatique IA retour en charge";"L IA propose des courses disponibles au plus proche de la position actuelle du camion (GPS ou derniere livraison) pour eliminer le kilometrage a vide. Le placement est restreint a la plage de dates definie par l exploitant. L exploitant peut imposer un retour au depot avant une date/heure limite : l IA filtre les suggestions pour garantir le retour en temps voulu (calcul temps trajet aller + retour depot). Les suggestions sont classees par rentabilite et distance. Validation humaine obligatoire avant affectation.";"Haute";"";"";"tracking routing ordres_transport planning";"Brief IA placement - plage dates obligatoire + contrainte retour depot";"TRUE";"1";"1";"IA"
"81";"Developpe";"Planning";"Groupes de conducteurs planning";"Possibilite de creer des groupes de conducteurs (ex : equipe nuit, zone nord, affretement) afin de cloisonner les vues planning par exploitant. Chaque exploitant ne voit et ne gere que les conducteurs de son groupe. L IA de placement respecte le perimetre du groupe lors des suggestions d affectation. Les groupes sont configurables par l administrateur et n impactent pas les autres plannings.";"Haute";"";"";"planning chauffeurs auth roles";"Brief IA placement - cloisonnement multi-exploitant";"TRUE";"1";"1";"Planning"
"80";"Features";"Douane";"Gestion douaniere";"Module de gestion douaniere pour les transports internationaux : documents douaniers (DAU, T1, CMR), suivi des declarations, gestion des regimes douaniers, alertes echeances, historique par transport et par client.";"Haute";"";"";"transports clients facturation";"Future developpement detaille";"TRUE";"3";"1";"Douane"
"81";"Features";"Convoi exceptionnel";"Gestion convois exceptionnels";"Module dedie aux convois exceptionnels : gestion des autorisations prefectorales, calcul itineraires conformes gabarit, planification escortes et pilotes, suivi reglementaire, alertes renouvellement, et integration avec le planning principal.";"Haute";"";"";"transports planning reglementaire";"Future developpement detaille";"TRUE";"3";"1";"Convoi exceptionnel"
"82";"Developpe";"Exploitation";"War Room Imprevu";"Suivi temps reel des imprévus opérationnels (panne, retard, absence), liaison OT/vehicule/conducteur, escalade par priorite, realtime Supabase";"Haute";"";"";"transports vehicules chauffeurs";"v1.11.0";"TRUE";"1";"1";"Exploitation"
"83";"Developpe";"Finance";"Reglements clients";"Module suivi reglements clients, statuts et historique des paiements";"Haute";"";"";"clients facturation";"v1.11.0";"TRUE";"1";"1";"Finance"
"84";"Developpe";"Planning";"Radar km a vide";"Badge taux de charge 30j par vehicule dans le Gantt, estimation km a vide, code couleur vert/orange/rouge";"Haute";"";"";"planning vehicules";"v1.11.0";"TRUE";"1";"1";"Planning"
"85";"Developpe";"Planning";"Badge statut maintenance Planning";"Indicateurs MAINT et HS sur les lignes vehicule du Gantt";"Haute";"";"";"maintenance planning vehicules";"v1.11.0";"TRUE";"1";"1";"Planning"
"86";"Developpe";"Integrations";"Page Integrations API";"Repertoire complet des integrations API disponibles (Webfleet, Samsara, Google Maps, Geotab, Trans.eu, Timocom, HERE, OSM, VDO)";"Haute";"";"";"api providers";"v1.12.0";"TRUE";"1";"1";"Integrations"
"87";"Developpe";"Ressources humaines";"Absences RH";"Table absences_rh et soldes CP/RTT, workflow demande/validation/refus integre dans la page RH";"Haute";"";"";"rh chauffeurs";"v1.12.4";"TRUE";"1";"1";"Ressources humaines"
"88";"Developpe";"Finance";"Journal comptable manuel";"Table compta_journal_manuel pour OD, saisies persistees en base avec RLS, integration dans la page Facturation";"Haute";"";"";"facturation comptabilite";"v1.12.4";"TRUE";"1";"1";"Finance"
"89";"Developpe";"Ressources humaines";"Entretiens RH Supabase";"CRUD Supabase complet, evaluations, suivi professionnel et alertes planification";"Haute";"";"";"rh chauffeurs";"v1.12.4";"TRUE";"1";"1";"Ressources humaines"
"90";"Developpe";"Administration";"Observabilite erreurs";"Table app_error_logs, Error Boundary React, panel admin KPIs/filtres/stack traces/logs API et purge 30j";"Haute";"";"";"auth admin";"v1.12.3";"TRUE";"1";"1";"Administration"
"91";"Developpe";"Administration";"Activation modules par tenant";"Cartes cliquables par metier dans Clients ERP, PATCH companies.enabled_modules via Netlify";"Haute";"";"";"multi-tenant";"v1.12.3";"TRUE";"1";"1";"Administration"
"99";"Developpe";"Administration";"Audit ERP leger";"Journal d audit par societe avec auteur, date, action et champs modifies sur les entites prioritaires.";"Haute";"";"";"supabase audit rls";"v1.12.10";"TRUE";"1";"1";"Administration"
"100";"Developpe";"Finance";"Factures PDF authentifiees";"Generation PDF facture, hash SHA256, stockage prive et rattachement OT pour le circuit de facturation.";"Haute";"";"";"facturation storage ordres_transport";"v1.12.10";"TRUE";"1";"1";"Finance"
"101";"Developpe";"SEO";"IndexNow automatique";"Soumission automatique du sitemap a IndexNow apres build pour accelerer la decouverte des pages publiees.";"Moyenne";"";"";"sitemap build public";"v1.12.10";"TRUE";"1";"2";"SEO"
"92";"En cours de developpement";"Logistique";"Entrepots et depots logistiques";"Page Entrepots/depots, capacite multi-lots posee, isolation tenant a finaliser";"Haute";"";"";"transports planning";"v1.10.12 base posee";"TRUE";"2";"1";"Logistique"
"93";"En cours de developpement";"Commercial";"Workflow commercial demo et prospection";"Acces Magic Link pose, formulaire commercial et qualification compte a finaliser";"Haute";"";"";"demo auth";"Parcours demo incomplet";"TRUE";"2";"1";"Commercial"
"94";"Features";"Communication";"Notifications push intelligentes";"Notifications push pour retards, incidents et validations en temps reel";"Haute";"";"";"realtime transport";"Ajout hype";"TRUE";"3";"1";"Communication"
"95";"Features";"IA";"Scoring automatique demandes clients";"Scoring IA des demandes clients pour priorisation et qualification automatique";"Moyenne";"";"";"crm prospection";"Ajout hype";"TRUE";"3";"2";"IA"
"96";"Features";"Pilotage";"Cockpit KPI ultra visuel par role";"Tableau de bord KPI ultra visuel adapte au role (conducteur, exploitant, admin)";"Haute";"";"";"analytics roles";"Ajout hype";"TRUE";"3";"1";"Pilotage"
"97";"Features";"Automation";"Automatisation proactive alertes transport";"Automatisation proactive des alertes transport et facturation (retards, depassements, anomalies)";"Moyenne";"";"";"monitoring realtime";"Ajout hype";"TRUE";"3";"2";"Automation"
"98";"Features";"IA";"Branchement Anthropic Claude placement";"Branchement Anthropic Claude sur le module de placement retour en charge pour optimisation avancee";"Haute";"";"";"ia placement routing";"Ajout hype";"TRUE";"3";"1";"IA"
"102";"Features";"Mobilite";"Application mobile chauffeurs native";"Application mobile iOS/Android dediee aux conducteurs : reception missions, remontee statuts, geolocalisation, notifications push terrain, equivalent XMobile Akanea";"Haute";"";"";"driver-session tracking planning";"Benchmark Akanea XMobile";"TRUE";"3";"1";"Mobilite"
"103";"Features";"Mobilite";"Mode hors connexion zones blanches";"Fonctionnement offline de l application chauffeur avec synchronisation automatique au retour reseau, stockage local des missions et evenements";"Haute";"";"";"app mobile chauffeurs";"Benchmark Akanea XMobile";"TRUE";"3";"1";"Mobilite"
"104";"Features";"Documents";"eCMR dematerialisee";"Lettre de voiture electronique avec signature numerique, generation et partage depuis l application chauffeur, conformite reglementaire";"Haute";"";"";"app mobile documents transports";"Benchmark Akanea XMobile";"TRUE";"3";"1";"Documents"
"105";"Features";"Documents";"Preuve de livraison photo et POD";"Capture photo geolocalisee et horodatee comme preuve de livraison, signature sur ecran, rattachement automatique a l OT";"Haute";"";"";"app mobile transports facturation";"Benchmark Akanea XMobile";"TRUE";"3";"1";"Documents"
"106";"Features";"Portail";"Portail client externe self-service";"Portail web 100 pourcent autonome pour les clients : saisie commandes, suivi expeditions temps reel, acces documents et factures, equivalent Proximity Akanea";"Haute";"";"";"clients transports facturation";"Benchmark Akanea Proximity";"TRUE";"3";"1";"Portail"
"107";"Features";"Portail";"Saisie commandes client avec IA";"Les clients saisissent leurs commandes transport directement sur le portail avec assistance IA, generation automatique OT dans le TMS sans ressaisie";"Haute";"";"";"portail client ia";"Benchmark Akanea Proximity";"TRUE";"3";"1";"Portail"
"108";"Features";"Portail";"Suivi expeditions temps reel client";"Acces client au suivi de ses transports en cours avec statuts livraison, positions et ETA en temps reel";"Haute";"";"";"portail client tracking";"Benchmark Akanea Proximity";"TRUE";"3";"1";"Portail"
"109";"Features";"RSE";"Donnees CO2 par transport";"Calcul et affichage empreinte carbone par transport, par client, avec export et mise a disposition sur le portail client";"Moyenne";"";"";"routing transports portail client";"Benchmark Akanea CO2";"TRUE";"3";"2";"RSE"
"110";"Features";"Portail";"Portail marque blanche personnalisable";"Personnalisation du portail client aux couleurs et logo de l entreprise de transport pour une experience digitale branded";"Moyenne";"";"";"portail client";"Benchmark Akanea Proximity";"TRUE";"3";"2";"Portail"
"111";"Features";"Portail";"Affectation conducteur par affrete";"L affrete peut affecter lui-meme un conducteur sur une mission depuis le portail affretes, information remontee dans le TMS";"Haute";"";"";"espace affreteur chauffeurs";"Benchmark Akanea Affinity";"TRUE";"3";"1";"Portail"
"112";"Features";"Portail";"Remontee statuts et POD par affrete";"Les affretes et leurs conducteurs mettent a jour les statuts transport et transmettent les preuves de livraison directement depuis le portail";"Haute";"";"";"espace affreteur documents";"Benchmark Akanea Affinity";"TRUE";"3";"1";"Portail"
"113";"Features";"Finance";"Pointage automatique factures affretes";"Pointage et rapprochement automatique des factures des sous-traitants avec les transports realises";"Haute";"";"";"facturation affretement";"Benchmark Akanea Affinity";"TRUE";"3";"1";"Finance"
"114";"Features";"Exploitation";"Transport messagerie colis palettes";"Module dedie au transport messagerie : gestion colis, palettes, e-commerce, distribution, chaine du froid, hub and spoke";"Haute";"";"";"transports planning";"Benchmark Akanea MROAD";"TRUE";"3";"1";"Exploitation"
"115";"Features";"Logistique";"Interconnexion WMS";"Integration avec un systeme de gestion d entrepot WMS pour synchroniser les flux entrants/sortants avec les ordres de transport";"Moyenne";"";"";"entrepots transports api";"Benchmark Akanea WMS";"TRUE";"3";"2";"Logistique"
"116";"Features";"Exploitation";"Optimisation tournees automatique";"Algorithme d optimisation multi-stops pour calculer les sequences de livraison les plus efficaces en tenant compte des contraintes metier";"Haute";"";"";"routing planning transports";"Benchmark Akanea XWay";"TRUE";"3";"1";"Exploitation"
"117";"Features";"Finance";"Grilles tarifaires transport configurables";"Grilles tarifaires complexes par km, zone, poids, palette, type marchandise avec application automatique sur OT et comparatif previsionnel vs realise";"Haute";"";"";"facturation transports clients";"Benchmark Dashdoc marche TMS";"TRUE";"3";"1";"Finance"
"118";"Features";"Logistique";"Prise de rendez-vous quai chargement";"Plateforme de reservation de creneaux de chargement et dechargement sur sites logistiques, planning collaboratif quai, notification transporteurs";"Moyenne";"";"";"entrepots planning transports";"Benchmark Dashdoc Flow";"TRUE";"3";"2";"Logistique"
"119";"Features";"Conformite";"Gestion documentaire reglementaire fournisseurs";"Suivi conformite fournisseurs et sous-traitants : Kbis, licence transport, attestation vigilance, assurances, certifications avec alertes echeances";"Haute";"";"";"affretement conformite documents";"Benchmark GedTrans marche";"TRUE";"3";"1";"Conformite"
"120";"Features";"Communication";"Notification client approche livraison";"Envoi automatique SMS ou email au client final quand le chauffeur approche du lieu de livraison, ETA mise a jour en temps reel";"Moyenne";"";"";"tracking app mobile portail client";"Benchmark Dashdoc marche TMS";"TRUE";"3";"2";"Communication"
"121";"Features";"Integrations";"API ouverte documentee partenaires";"API REST ouverte et documentee permettant aux partenaires techniques et clients de connecter leurs propres outils a l ERP";"Haute";"";"";"api auth tenant";"Benchmark Dashdoc marche TMS";"TRUE";"3";"1";"Integrations"
"122";"Features";"Exploitation";"E-formulaires terrain inspections";"Formulaires electroniques configurables pour inspections vehicules, controles qualite, checklist depart, remontee anomalies depuis le terrain";"Moyenne";"";"";"app mobile maintenance flotte";"Benchmark Dashdoc Wam";"TRUE";"3";"2";"Exploitation"
"123";"Features";"Finance";"Gestion multi-devises";"Support multi-devises pour la facturation et les ecritures comptables des transports internationaux avec conversion automatique";"Moyenne";"";"";"facturation comptabilite transports internationaux";"Benchmark marche TMS international";"TRUE";"3";"2";"Finance"
"124";"Features";"Exploitation";"Gestion temperature transport frigo";"Suivi temperature en temps reel pour transports frigorifiques, alertes depassement seuils, historique conforme HACCP";"Moyenne";"";"";"tracking vehicules conformite";"Benchmark marche TMS chaine du froid";"TRUE";"3";"2";"Exploitation"
"125";"Features";"Commercial";"Plateforme booking chargeurs";"Plateforme de reservation en ligne pour les chargeurs et clients avec choix de creneau, type vehicule et tarif instantane";"Moyenne";"";"";"portail client grilles tarifaires";"Benchmark Transporeon marche";"TRUE";"3";"2";"Commercial"
